part_number,part_name,supplier_id,supplier_name,lead_time_days,unit_cost
S-1074,Drawer Front,SUP-001,Nordic Wood Industries,22,$23.52
S-1075,Drawer Bottom,SUP-001,Nordic Wood Industries,21,$49.76
S-1076,Drawer Sides,SUP-001,Nordic Wood Industries,21,$4.91
S-1077,Drawer Back,SUP-001,Nordic Wood Industries,16,$34.14
S-1078,Drawer Rails,SUP-002,Shanghai Metal Corp,21,$29.19
S-1079,Drawer Handle,SUP-002,Shanghai Metal Corp,14,$14.44
S-1080,Screws,SUP-004,German Precision Fasteners,5,$42.32
S-1081,Drawer Front,SUP-001,Nordic Wood Industries,27,$38.33
S-1082,Drawer Bottom,SUP-001,Nordic Wood Industries,8,$9.0
S-1083,Drawer Sides,SUP-001,Nordic Wood Industries,25,$45.2
S-1084,Drawer Back,SUP-001,Nordic Wood Industries,23,$15.28
S-1085,Drawer Rails,SUP-002,Shanghai Metal Corp,24,$20.21
S-1086,Screws,SUP-004,German Precision Fasteners,24,$1.47
S-1087,Headboard Panel,SUP-001,Nordic Wood Industries,9,$19.57
S-1088,Headboard Frame,SUP-002,Shanghai Metal Corp,13,$8.11
S-1089,Decorative Trim,SUP-001,Nordic Wood Industries,30,$31.49
S-1090,Mounting Brackets,SUP-002,Shanghai Metal Corp,17,$9.83
S-1091,Screws,SUP-004,German Precision Fasteners,12,$19.13
S-1092,Seat Base,SUP-001,Nordic Wood Industries,18,$42.64
S-1093,Foam Padding,SUP-005,Brazilian Foam Solutions,20,$35.91
S-1094,Fabric Cover,SUP-003,Bangalore Textiles Ltd,25,$13.23
S-1095,Mounting Brackets,SUP-002,Shanghai Metal Corp,23,$36.54
S-1096,Screws,SUP-004,German Precision Fasteners,10,$37.97
S-1097,Foam Insert,SUP-005,Brazilian Foam Solutions,25,$45.67
S-1098,Cushion Cover,SUP-003,Bangalore Textiles Ltd,23,$48.48
S-1099,Zipper,SUP-006,American Hardware Inc,13,$49.46
S-1100,Batting,SUP-003,Bangalore Textiles Ltd,14,$47.89
S-1101,Base Frame,SUP-002,Shanghai Metal Corp,19,$20.02
S-1102,Back Frame,SUP-002,Shanghai Metal Corp,26,$45.75
S-1103,Side Frames,SUP-002,Shanghai Metal Corp,25,$7.53
S-1104,Support Slats,SUP-001,Nordic Wood Industries,21,$39.85
S-1105,Corner Brackets,SUP-002,Shanghai Metal Corp,11,$46.49
S-1106,Screws,SUP-004,German Precision Fasteners,10,$17.77
S-1107,Back Panel,SUP-001,Nordic Wood Industries,11,$14.73
S-1108,Foam Padding,SUP-005,Brazilian Foam Solutions,25,$43.96
S-1109,Fabric Cover,SUP-003,Bangalore Textiles Ltd,29,$35.95
S-1110,Support Frame,SUP-002,Shanghai Metal Corp,10,$30.16
S-1111,Screws,SUP-004,German Precision Fasteners,17,$31.09
S-1112,Foam Insert,SUP-005,Brazilian Foam Solutions,28,$7.8
S-1113,Cushion Cover,SUP-003,Bangalore Textiles Ltd,17,$48.45
S-1114,Zipper,SUP-006,American Hardware Inc,21,$46.62
S-1115,Batting,SUP-003,Bangalore Textiles Ltd,5,$5.42
S-1116,Wood Panel,SUP-001,Nordic Wood Industries,21,$17.42
S-1117,Edge Banding,SUP-001,Nordic Wood Industries,16,$43.72
S-1118,Shelf Support Holes,SUP-006,American Hardware Inc,26,$39.22
S-1119,Mounting Brackets,SUP-002,Shanghai Metal Corp,23,$22.62
S-1120,Wood Panels,SUP-006,American Hardware Inc,5,$23.34
S-1121,Edge Banding,SUP-001,Nordic Wood Industries,10,$27.35
S-1122,Reinforcement Strips,SUP-001,Nordic Wood Industries,28,$34.38
S-1123,Wood Glue,SUP-009,Cape Town Adhesives,20,$5.1
S-1124,Wooden Slat,SUP-001,Nordic Wood Industries,26,$20.54
S-1125,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,11,$16.77
S-1126,Cable Tray,SUP-002,Shanghai Metal Corp,30,$23.82
S-1127,Cable Clips,SUP-006,American Hardware Inc,24,$38.02
S-1128,Zip Ties,SUP-006,American Hardware Inc,22,$8.9
S-1129,Adhesive Pads,SUP-009,Cape Town Adhesives,25,$34.97
S-1130,Shade Frame,SUP-002,Shanghai Metal Corp,20,$31.82
S-1131,Shade Fabric,SUP-003,Bangalore Textiles Ltd,5,$45.06
S-1132,Diffuser,SUP-008,Sydney Glass Works,12,$18.65
S-1133,Mounting Ring,SUP-002,Shanghai Metal Corp,5,$41.37
S-1134,Wooden Slat,SUP-001,Nordic Wood Industries,29,$17.71
S-1135,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,16,$32.02
S-1136,Wooden Slat,SUP-001,Nordic Wood Industries,9,$49.31
S-1137,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,13,$30.75
S-1138,Wooden Slat,SUP-001,Nordic Wood Industries,24,$8.62
S-1139,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,24,$41.64
S-1140,Wooden Slat,SUP-001,Nordic Wood Industries,11,$21.85
S-1141,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,19,$2.03
S-1142,Wooden Slat,SUP-001,Nordic Wood Industries,30,$29.46
S-1143,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,8,$1.78
S-1144,Wooden Slat,SUP-001,Nordic Wood Industries,15,$3.82
S-1145,Fabric Sleeve,SUP-003,Bangalore Textiles Ltd,29,$37.05
S-1146,Wooden Slat,SUP-001,Nordic Wood Industries,22,$8.76
